Brand,Model,Body_Type,Variant_Tier,Year,Engine_Size,Battery_kWh,Fuel_Type,Transmission,Mileage,Seats,Owner_Count,Price
Honda,Amaze,Sedan,Top,2024,1.2,0.0,Petrol,CVT,12643,5,2,815000
Maruti Suzuki,Brezza,SUV,Top,2018,1.3,0.0,Diesel,Manual,147529,5,2,500000
Hyundai,Grand i10 Nios,Hatchback,Top,2021,1.2,0.0,Diesel,Manual,115743,5,1,605000
Mahindra,Thar,SUV,Base,2025,2.2,0.0,Diesel,Automatic,16275,4,1,1340000
Maruti Suzuki,Baleno,Hatchback,Base,2023,1.2,0.0,Petrol,Manual,28480,5,1,665000
Renault,Kwid,Hatchback,Base,2022,1.0,0.0,Petrol,Manual,34272,5,1,400000
Kia,Seltos,SUV,Mid,2019,1.5,0.0,Diesel,Manual,106633,5,1,935000
Tata,Nexon,SUV,Base,2022,1.5,0.0,Diesel,Manual,49612,5,1,830000
Hyundai,Venue,SUV,Top,2026,1.2,0.0,Petrol,Manual,1285,5,1,1050000
Mahindra,XUV500,SUV,Top,2020,2.2,0.0,Diesel,Manual,133850,7,2,855000
Mahindra,Bolero,SUV,Mid,2020,1.5,0.0,Diesel,Manual,105774,7,1,650000
Tata,Tiago,Hatchback,Top,2019,1.2,0.0,Petrol,Manual,96828,5,2,330000
Maruti Suzuki,Wagon R,Hatchback,Mid,2025,1.2,0.0,Petrol,Manual,16595,5,1,595000
Hyundai,Venue,SUV,Base,2020,1.4,0.0,Diesel,Manual,57611,5,1,665000
Maruti Suzuki,Celerio,Hatchback,Mid,2018,1.0,0.0,Petrol,AMT,79408,5,1,255000
Honda,City,Sedan,Mid,2026,1.5,0.0,Petrol,Manual,2025,5,1,1170000
Hyundai,i20,Hatchback,Base,2019,1.2,0.0,Petrol,Manual,84973,5,2,370000
Maruti Suzuki,Dzire,Sedan,Top,2023,1.2,0.0,Petrol,Manual,45955,5,1,640000
Maruti Suzuki,Swift,Hatchback,Top,2022,1.2,0.0,Petrol,AMT,39024,5,1,725000
Mahindra,Bolero,SUV,Top,2022,1.5,0.0,Diesel,Manual,59538,7,2,800000
Maruti Suzuki,Baleno,Hatchback,Top,2022,1.2,0.0,Petrol,Manual,46896,5,1,825000
MG,Astor,SUV,Mid,2022,1.5,0.0,Petrol,CVT,33494,5,2,1165000
Mahindra,Bolero,SUV,Top,2017,2.5,0.0,Diesel,Manual,244105,7,1,320000
Hyundai,i20,Hatchback,Mid,2025,1.0,0.0,Petrol,DCT,18947,5,1,1100000
Mahindra,Bolero,SUV,Mid,2024,1.5,0.0,Diesel,Manual,28764,7,1,875000
Maruti Suzuki,Alto K10,Hatchback,Mid,2022,1.0,0.0,Petrol,Manual,49157,5,1,305000
BMW,5 Series,Sedan,Top,2021,2.0,0.0,Diesel,Automatic,97333,5,1,4365000
Honda,City,Sedan,Top,2022,1.5,0.0,Petrol,CVT,31942,5,1,1220000
Kia,Sonet,SUV,Mid,2023,1.2,0.0,Petrol,Manual,19895,5,1,770000
Maruti Suzuki,Wagon R,Hatchback,Mid,2025,1.2,0.0,Petrol,AMT,19280,5,1,575000
Honda,City,Sedan,Top,2023,1.5,0.0,Petrol Hybrid,e-CVT,40067,5,1,1460000
Honda,City,Sedan,Base,2025,1.5,0.0,Petrol,CVT,13933,5,1,1175000
Jeep,Compass,SUV,Top,2026,1.3,0.0,Petrol,Automatic,2289,5,1,2805000
Mahindra,Thar,SUV,Top,2023,2.2,0.0,Diesel,Manual,22563,4,2,1425000
Honda,City,Sedan,Top,2019,1.5,0.0,Petrol,Manual,44253,5,1,815000
Maruti Suzuki,Fronx,SUV,Base,2025,1.2,0.0,Petrol,Manual,11961,5,1,715000
Hyundai,i20,Hatchback,Base,2020,1.0,0.0,Petrol,DCT,48333,5,2,610000
Toyota,Yaris,Sedan,Base,2020,1.5,0.0,Petrol,CVT,101749,5,1,520000
Honda,Brio,Hatchback,Top,2019,1.2,0.0,Petrol,Manual,118628,5,1,230000
Maruti Suzuki,Alto K10,Hatchback,Mid,2021,1.0,0.0,CNG,Manual,63904,5,1,355000
Volkswagen,Vento,Sedan,Mid,2016,1.6,0.0,Petrol,Manual,154411,5,2,280000
Ford,EcoSport,SUV,Mid,2019,1.5,0.0,Diesel,Manual,144786,5,1,480000
Maruti Suzuki,Dzire,Sedan,Top,2022,1.2,0.0,Petrol,Manual,33823,5,1,680000
Toyota,Fortuner,SUV,Top,2025,2.7,0.0,Petrol,Manual,9914,7,1,5065000
Maruti Suzuki,Swift,Hatchback,Mid,2023,1.2,0.0,Petrol,Manual,25169,5,2,625000
Tata,Tiago EV,Hatchback,Top,2023,0.0,24.0,EV,Automatic,35915,5,1,740000
Maruti Suzuki,Eeco,MPV,Mid,2020,1.2,0.0,Petrol,Manual,73896,5,2,320000
Tata,Tiago,Hatchback,Base,2022,1.2,0.0,Petrol,Manual,28802,5,1,420000
Tata,Nexon,SUV,Base,2024,1.2,0.0,Petrol,AMT,26550,5,1,965000
Kia,Seltos,SUV,Mid,2023,1.5,0.0,Petrol,DCT,27089,5,1,1515000
Maruti Suzuki,Swift,Hatchback,Top,2023,1.2,0.0,Petrol,Manual,23473,5,1,720000
MG,Hector,SUV,Mid,2022,1.5,0.0,Petrol,Manual,26862,5,1,1355000
Maruti Suzuki,Ertiga,MPV,Mid,2017,1.5,0.0,CNG,Manual,67370,7,1,540000
Maruti Suzuki,S-Presso,Hatchback,Mid,2024,1.0,0.0,Petrol,AMT,18504,5,1,470000
Toyota,Fortuner,SUV,Mid,2026,2.7,0.0,Petrol,Automatic,1260,7,1,4680000
Hyundai,Creta,SUV,Base,2016,1.6,0.0,Petrol,Manual,47891,5,1,500000
Volkswagen,Vento,Sedan,Mid,2021,1.0,0.0,Petrol,Automatic,41388,5,3,715000
Skoda,Kushaq,SUV,Base,2021,1.0,0.0,Petrol,Manual,66439,5,1,775000
Hyundai,Aura,Sedan,Mid,2020,1.2,0.0,Petrol,AMT,63185,5,2,455000
BMW,3 Series,Sedan,Mid,2015,2.0,0.0,Petrol,Automatic,111695,5,2,1165000
Maruti Suzuki,Eeco,MPV,Mid,2026,1.2,0.0,Petrol,Manual,3506,5,1,550000
Toyota,Urban Cruiser Hyryder,SUV,Base,2024,1.5,0.0,CNG,Manual,56450,5,1,1255000
Maruti Suzuki,XL6,MPV,Top,2022,1.5,0.0,Petrol,Manual,57113,6,1,1065000
Jeep,Compass,SUV,Mid,2023,1.3,0.0,Petrol,Automatic,48909,5,1,1820000
Maruti Suzuki,Baleno,Hatchback,Mid,2020,1.2,0.0,Petrol,AMT,97953,5,2,475000
Maruti Suzuki,Celerio,Hatchback,Base,2020,1.0,0.0,Petrol,AMT,37890,5,1,360000
Hyundai,Alcazar,SUV,Mid,2025,1.5,0.0,Diesel,Automatic,11131,6,1,2360000
Volvo,XC60,SUV,Mid,2023,2.0,0.0,Petrol,Automatic,20043,5,2,3950000
Nissan,Micra,Hatchback,Top,2019,1.2,0.0,Petrol,Manual,68390,5,3,220000
Tata,Harrier,SUV,Top,2025,2.0,0.0,Diesel,Automatic,19564,5,1,2215000
Nissan,Magnite,SUV,Mid,2026,1.0,0.0,Petrol,AMT,2230,5,1,915000
Nissan,Terrano,SUV,Top,2018,1.5,0.0,Diesel,AMT,129087,5,1,480000
Toyota,Rumion,MPV,Top,2023,1.5,0.0,Petrol,Manual,45528,7,2,900000
Hyundai,Xcent,Sedan,Mid,2016,1.1,0.0,Diesel,Manual,250000,5,2,165000
Kia,Seltos,SUV,Top,2025,1.5,0.0,Petrol,Manual,7126,5,1,1605000
Tata,Tiago,Hatchback,Mid,2023,1.2,0.0,Petrol,AMT,14470,5,1,585000
Hyundai,Creta,SUV,Mid,2017,1.6,0.0,Diesel,Automatic,108984,5,1,660000
Maruti Suzuki,Swift,Hatchback,Base,2019,1.3,0.0,Diesel,AMT,170860,5,2,355000
Tata,Harrier,SUV,Base,2023,2.0,0.0,Diesel,Manual,42000,5,1,1460000
Maruti Suzuki,Fronx,SUV,Base,2023,1.0,0.0,Petrol,Manual,39635,5,1,765000
Jeep,Compass,SUV,Base,2024,1.3,0.0,Petrol,Automatic,19726,5,1,1820000
Maruti Suzuki,Ertiga,MPV,Mid,2022,1.5,0.0,Petrol,Manual,28471,7,3,675000
Maruti Suzuki,Dzire,Sedan,Mid,2016,1.3,0.0,Diesel,Manual,125888,5,4,280000
Volkswagen,Vento,Sedan,Mid,2022,1.0,0.0,Petrol,Manual,26002,5,1,785000
Maruti Suzuki,Dzire,Sedan,Base,2026,1.2,0.0,Petrol,AMT,1446,5,1,780000
Maruti Suzuki,Baleno,Hatchback,Mid,2024,1.2,0.0,Petrol,Manual,19432,5,1,855000
Mahindra,Scorpio,SUV,Base,2018,2.2,0.0,Diesel,Manual,138501,7,1,600000
Renault,Triber,MPV,Mid,2023,1.0,0.0,Petrol,Manual,28120,7,2,580000
Maruti Suzuki,Ciaz,Sedan,Top,2022,1.5,0.0,Petrol,Manual,97360,5,1,745000
Hyundai,Grand i10 Nios,Hatchback,Top,2023,1.2,0.0,Petrol,AMT,25943,5,2,770000
Kia,Sonet,SUV,Mid,2021,1.2,0.0,Petrol,Manual,93415,5,2,625000
Mercedes-Benz,C-Class,Sedan,Mid,2017,2.0,0.0,Petrol,Automatic,114139,5,1,1655000
Honda,CR-V,SUV,Mid,2020,2.0,0.0,Petrol,Automatic,84382,5,1,1235000
Maruti Suzuki,Dzire,Sedan,Mid,2023,1.2,0.0,Petrol,Manual,32709,5,1,630000
Maruti Suzuki,Alto K10,Hatchback,Base,2016,1.0,0.0,Petrol,Manual,108451,5,3,145000
Maruti Suzuki,Ertiga,MPV,Mid,2017,1.5,0.0,Petrol,Manual,108721,7,1,380000
Maruti Suzuki,Dzire,Sedan,Top,2020,1.3,0.0,Diesel,AMT,125767,5,2,630000
Tata,Tigor,Sedan,Mid,2021,1.2,0.0,Petrol,AMT,44577,5,1,515000
Maruti Suzuki,Dzire,Sedan,Mid,2015,1.2,0.0,Petrol,Manual,79580,5,2,275000
Toyota,Glanza,Hatchback,Base,2021,1.2,0.0,Petrol,Manual,72162,5,1,515000
Tata,Altroz,Hatchback,Mid,2025,1.2,0.0,Petrol,Manual,8602,5,1,825000
Mahindra,Bolero,SUV,Mid,2017,2.5,0.0,Diesel,Manual,146505,7,1,375000
Maruti Suzuki,Brezza,SUV,Mid,2016,1.3,0.0,Diesel,Manual,144733,5,3,380000
Skoda,Superb,Sedan,Top,2021,2.0,0.0,Diesel,Automatic,129045,5,1,2315000
Tata,Nexon,SUV,Top,2020,1.2,0.0,Petrol,AMT,98686,5,1,640000
Tata,Nexon EV,SUV,Top,2024,0.0,40.5,EV,Automatic,18494,5,1,1735000
Maruti Suzuki,Dzire,Sedan,Mid,2020,1.2,0.0,Petrol,AMT,73888,5,2,485000
Maruti Suzuki,Dzire,Sedan,Mid,2017,1.3,0.0,Diesel,Manual,108022,5,2,340000
MG,Astor,SUV,Base,2026,1.5,0.0,Petrol,Manual,1134,5,1,1230000
Hyundai,Creta,SUV,Mid,2023,1.5,0.0,Petrol,IVT,30403,5,1,1150000
Hyundai,Grand i10,Hatchback,Mid,2019,1.1,0.0,Diesel,Manual,123025,5,1,330000
Honda,City,Sedan,Top,2024,1.5,0.0,Petrol,Manual,17521,5,1,1205000
Tata,Tiago,Hatchback,Mid,2023,1.2,0.0,CNG,Manual,26404,5,1,600000
BMW,3 Series,Sedan,Top,2023,2.0,0.0,Petrol,Automatic,18584,5,1,5290000
Maruti Suzuki,Eeco,MPV,Top,2023,1.2,0.0,Petrol,Manual,28395,5,2,530000
MG,Astor,SUV,Mid,2021,1.5,0.0,Petrol,CVT,58961,5,2,875000
Maruti Suzuki,Alto K10,Hatchback,Mid,2023,1.0,0.0,Petrol,Manual,37938,5,2,380000
Toyota,Hilux,SUV,Mid,2022,2.8,0.0,Diesel,Manual,44604,5,2,2345000
Mahindra,XUV700,SUV,Mid,2023,2.2,0.0,Diesel,Automatic,50192,7,1,1935000
Maruti Suzuki,Swift,Hatchback,Mid,2022,1.2,0.0,Petrol,AMT,53334,5,1,585000
Maruti Suzuki,Dzire,Sedan,Top,2022,1.2,0.0,Petrol,Manual,51908,5,1,605000
Hyundai,Venue,SUV,Base,2021,1.4,0.0,Diesel,Manual,59572,5,1,660000
BMW,X3,SUV,Mid,2021,2.0,0.0,Petrol,Automatic,57151,5,1,3765000
Mahindra,Bolero Neo,SUV,Base,2023,1.5,0.0,Diesel,Manual,40520,7,2,730000
Jeep,Compass,SUV,Mid,2017,2.0,0.0,Diesel,Automatic,245983,5,3,605000
Skoda,Superb,Sedan,Top,2021,2.0,0.0,Diesel,Automatic,80560,5,2,2625000
Honda,City,Sedan,Top,2016,1.5,0.0,Petrol,CVT,63388,5,2,610000
Kia,Sonet,SUV,Top,2024,1.0,0.0,Petrol,DCT,25515,5,1,1165000
Maruti Suzuki,Alto K10,Hatchback,Base,2019,1.0,0.0,Petrol,AMT,85093,5,1,230000
Maruti Suzuki,Swift,Hatchback,Mid,2023,1.2,0.0,CNG,Manual,38086,5,1,605000
Volkswagen,Vento,Sedan,Base,2021,1.0,0.0,Petrol,Manual,41146,5,1,675000
Skoda,Rapid,Sedan,Top,2019,1.5,0.0,Diesel,Manual,102478,5,1,565000
Maruti Suzuki,Ertiga,MPV,Mid,2019,1.5,0.0,CNG,Manual,75274,7,1,650000
Toyota,Innova Crysta,MPV,Mid,2021,2.7,0.0,Petrol,Manual,61882,7,2,1475000
Mahindra,Scorpio,SUV,Mid,2022,2.2,0.0,Diesel,Manual,57257,7,1,1160000
Renault,Duster,SUV,Top,2021,1.3,0.0,Petrol,Manual,71367,5,1,705000
Mahindra,Scorpio,SUV,Top,2021,2.2,0.0,Diesel,Manual,89220,7,1,1090000
Hyundai,Venue,SUV,Base,2019,1.2,0.0,Petrol,Manual,94784,5,1,475000
Hyundai,Creta,SUV,Base,2017,1.6,0.0,Diesel,Manual,207143,5,2,405000
Hyundai,Venue,SUV,Top,2023,1.0,0.0,Petrol,DCT,17040,5,1,1240000
Tata,Tiago,Hatchback,Base,2020,1.2,0.0,Petrol,Manual,46356,5,1,365000
Renault,Duster,SUV,Top,2021,1.3,0.0,Petrol,Manual,48174,5,2,770000
Honda,Amaze,Sedan,Base,2023,1.2,0.0,Petrol,Manual,12381,5,1,525000
Maruti Suzuki,Ertiga,MPV,Top,2024,1.5,0.0,Petrol,Manual,24894,7,1,960000
Maruti Suzuki,Ertiga,MPV,Base,2020,1.3,0.0,Diesel,Manual,54323,7,1,710000
Tata,Harrier,SUV,Mid,2023,2.0,0.0,Diesel,Automatic,35054,5,1,1895000
Skoda,Slavia,Sedan,Top,2024,1.0,0.0,Petrol,Manual,12304,5,1,1600000
Maruti Suzuki,Swift,Hatchback,Top,2022,1.2,0.0,CNG,Manual,35021,5,1,685000
Maruti Suzuki,Wagon R,Hatchback,Mid,2021,1.0,0.0,Petrol,Manual,45986,5,1,465000
Mahindra,Bolero Neo,SUV,Mid,2021,1.5,0.0,Diesel,Manual,51435,7,1,755000
Maruti Suzuki,Dzire,Sedan,Top,2024,1.2,0.0,Petrol,Manual,15851,5,2,800000
Volkswagen,Polo,Hatchback,Base,2022,1.0,0.0,Petrol,Manual,45565,5,1,580000
Hyundai,Grand i10 Nios,Hatchback,Base,2023,1.2,0.0,Petrol,Manual,25001,5,1,525000
Maruti Suzuki,Dzire,Sedan,Mid,2023,1.2,0.0,Petrol,AMT,44477,5,3,540000
MG,Hector,SUV,Base,2026,2.0,0.0,Diesel,Manual,2731,5,1,1760000
Maruti Suzuki,Baleno,Hatchback,Mid,2021,1.2,0.0,Petrol,Manual,43726,5,2,555000
Maruti Suzuki,Eeco,MPV,Base,2022,1.2,0.0,Petrol,Manual,26711,5,1,385000
Maruti Suzuki,Baleno,Hatchback,Mid,2015,1.2,0.0,Petrol,Manual,82325,5,1,370000
Maruti Suzuki,Swift,Hatchback,Base,2024,1.2,0.0,Petrol,Manual,12663,5,1,595000
Maruti Suzuki,Alto K10,Hatchback,Base,2021,1.0,0.0,Petrol,Manual,29857,5,1,305000
Maruti Suzuki,Wagon R,Hatchback,Base,2016,1.0,0.0,Petrol,Manual,161589,5,1,170000
Maruti Suzuki,Baleno,Hatchback,Mid,2023,1.2,0.0,Petrol,Manual,25666,5,1,790000
Maruti Suzuki,Celerio,Hatchback,Top,2026,1.0,0.0,Petrol,AMT,1932,5,1,670000
Mahindra,Bolero,SUV,Base,2024,1.5,0.0,Diesel,Manual,45882,7,1,840000
Tata,Tigor,Sedan,Base,2024,1.2,0.0,Petrol,Manual,22082,5,1,635000
Hyundai,Creta,SUV,Top,2022,1.5,0.0,Petrol,IVT,30607,5,2,1250000
